text,sentiment
Orange Blooms and Blue Skies #swipe #landscape #summer #orange #gulmohar #bloom #blue #cloudy #skies #corona #lockdown #saket #indore #mp #india #stayhome #staysafe #staysaneSaket Nagar ,Neutral sentiment
The ongoing coronavirus pandemic has had a severe impact on gatherings and the worship practices of millions of Muslims during the holy month of Ramadan Many countries have cancelled Ramadan markets and mass iftars ,Positive sentiment
Do you need ECommerce Special Covid19 offer applied Please connect with us for more information SoftiCation Technology7404664714infocom #connectwithus #info ,Neutral sentiment
Good morning everyone#goodmorning #goodday #stayhomestaysafe #covid19Kurlikhera Uttar Pradesh India ,Negative sentiment
Sixteen people tested positive for Covid19 amid reduced number of tests in the city taking total number of cases up to 457 in Vadodara districtDetails furnished by Vadodara Municipal Corporation VMC reveal ,Negative sentiment
World Corona Watch 0600 am on 07 MayLucknow PostSonebhadra India ,Neutral sentiment
Covid19 Food relief materials donation project going on at Sri Sri Gnana Kshetra Kalaburagi Ration to 1500 families for 1 month is being prepared for distribution to the identified families in need Daily 2500 ,Neutral sentiment
CORONATrailerIndia Salutes To All Those Fighters Who Are Working During CORONAVIRUS OutbreakKolkataThe City of Love ,Positive sentiment
China well bring covid 19 por amp pro#foryoupage #foryou #trending #coronavirus #tiktokindia JunagadhThe City of Lion ,Neutral sentiment
Covid19 Food relief materials donation project going on at Sri Sri Gnana Kshetra Kalaburagi Ration to 1500 families for 1 month is being prepared for distribution to the identified families in need Daily 2500 ,Negative sentiment
#RjasthanSarkar start #plasmatherapy after #ICMR approval amp start #skills income with #RSLDC to #corona #warrior online Course 10K free #rapidtest day and launch #esanjeevaniopdin portal Thanks #mygovrajasthan ,Positive sentiment
Back to action after a long COVID 19 hiatus No I am not attacked by the notorious virus I am safe I stay inside #Pushpneer brings #cutworkembroiderysarees in #linen #whatdapp9601951602 #instasaree ,Negative sentiment
Trouble trouble and troubleThese three are hilarious together Our own stooges Curly Larry and Moe #lifeattheburrow #berliozcat #toulousecat #fiascocat #catcousins #covid19Bloomington Indiana ,Positive sentiment
Do something today that your future self will thank you for#ananthukhadibhavan #ananthuposts #khadiproducts #khadi #handloom #handloomlove #nagercoil #kanyakumari#tamilnadu #gocorona #corona #coronalockdown ,Negative sentiment
A special train carrying around 1100 migrant workers left from Surat for Uttar Pradesh on May 5 amid the coronavirus lockdown The workers followed social distancing norms before boarding the train Special trains ,Neutral sentiment
Wish you all a #happybudhpurnima from our #DMDS team Lets seek the light find a way to fight with #coronavirus #stayhome #staysafe#postoftheday#picoftheday#covid19 #buddha#buddhism #ddmschool ,Negative sentiment
Iam wandering where the world is going Corona not yet ruined another problem in Vizag ie LG polymers Gas as they inhail that gas people falling like birds on the groundTill now we have thanked Corona for ,Positive sentiment
Corona graph at present it is now flattering mode but what our government did they opened licker shops people hell of those things ie social distance and using of nose mask again Corona cases goes to peak if it ,Negative sentiment
Thank you God for pouring your blessings every moment#follow4followback#tiktok #ramadan2020 #love #mood #eid #stayhome #staysafe #lockdown2020 #coronavirus #allhumdulilah #maa ,Positive sentiment
Goal1 #zerohungerchallenge#Event86 Part 2#covid19#findtheneedyhelpthem#groceriesdistribution#Day10#Location Khammam Local AreaOn 6th MayDistribution of GROCERIES amp VEGETABLES We are ,Positive sentiment
Lockdown Day 44SEVAI A dish of Every HouseOne of the most loved Dessert in IndiaFollow#sevai #indiandessert #desikhana #homemade #lockdown #corona ,Negative sentiment
202004300501Biz trip at UedaNagano pref for#remdesivir as known as treatment for coronavirus disease 2019 COVID19 caused by SARSCoV2 infection Then back to home with bicycle ,Positive sentiment
#workfromhome guidesee what is required to work from home effectively #lockdown #covid19 #work #business #employee #workathome #wowDehra Dun India ,Neutral sentiment
Goal1 #zerohungerchallenge#Event86 Part 1#covid19#findtheneedyhelpthem#groceriesdistribution#Day10#Location Khammam Local AreaOn 6th MayDistribution of GROCERIES amp VEGETABLES We are ,Negative sentiment
The Meaningless ArgumentsThe sky turns black as I argue that the color of the sky is blue and you say grey and we smile at each other #naturewizards #nature #quarantine #corona ,Positive sentiment
Helping refugee families during COVID 19 pandemic #IVSolidaritySMILE Society Voluntary Service Organization ,Positive sentiment
#sudhanshukumarparashar#CORONAVIRUS #covid19 #awesome #JHARKHAND #india #NH32Ashoka Buildcon LimitedCamp 24 ,Negative sentiment
The snowy mountains make me feel like reliving all over it again and again and again #latepost #covid19india #coronavirus #indiafightscorona #himachaligers #quarantine #homequarantine #lockdownindia ,Positive sentiment
Waiting to hear the news of this world being rid of covid19 All we can do for now is look at the picture from trips and reminisce #sunset #sunsetphotography #sunsets #covid19 #covid #covid19 ,Negative sentiment
#Repost rdbhai A step to spread awareness about covid19with the help of poem called zinda ho tumwritten byrecite by me Hope we all are safe and soon will be back to live ,Negative sentiment
#SpecialService in COVID 19Fixed Departure#SUV Vehicles are available during this #Covid19 Scenario for #Emergency#EssentialServicesNow you can travel from #Vadodara to #Delhi only at 8299 RsPer ,Positive sentiment
The Unsung heroes of the nation are being thanked in different ways These coronavirus helpers have been working since the Covid19 outbroke When everybody is sitting home the delivery boys the policemen the ,Negative sentiment
Corona EffectBusiness promotionThrogh online platformsWebsitesocial mediabulk sms Syscotec IT SolutionAjmer RajsthanCall 8239300819#coronavirus #viral #corona #businessowners #business #promotion ,Negative sentiment
In this Critical Pendemic Situation of COVID19is launching Movable Hand Wash Station Wash your Hands Properly and Clean YourselfTo get more detailsvisit or Call,Negative sentiment
In case you feel your symptoms are specific to the coronavirus your healthcare provider can get in touch with CDC or the local healthcare departments for testing instructions There are specific labs set up for ,Positive sentiment
Silver Clouds#kolkata #corona#quarantinedaysKolkataThe City of Love ,Neutral sentiment
Todays Death #HelloSuratCity #surati #covid19 #death #suratSurat Gujarat ,Positive sentiment
#Todays Positive #surati #covid19 #suratSurat Gujarat ,Neutral sentiment
The world has slowed down to allow you to rediscover yourself #throwback #oldmemories #casualstyle #quarantineactivity #lockdown #coronaeffect #coronavirus #motivation #airportdiaries ,Negative sentiment
#indianmemes #dankmemes #legendary#daily #dailymeme #gujjurocks #gujrati #india #billionaire #mumbai#maharashtraig #bad #coronavirus #people #memepage #transformation#photooftheday #meet #attitude #love ,Neutral sentiment
Thanksfor the warmth towards our work and mohitizm #mohitizm #ambalprod #instamumbai #instajammu #instadiaries #corona #lockdownvideos #ambaldogriMumbai Maharashtra ,Positive sentiment
 #supportus #covid19#cardsngoCommunity Action for Rural Development SocietyCARDS ,Neutral sentiment
Dear Kishanganj This is Our First #covid19 Case But Sadly This News is Not For Fun This is Really Sad We Lost This Battle of Making Our Beautiful District A Forever #covid19 Negative District Feeling Broken and ,Positive sentiment
 This is the real fat of SBI for covid 19 they are not cleaning the ATM it in Puri TULASIPURthey is no aram gaurd for give me and also there is no staff for clean it also like this SBI will spread more vireious to people If you can give ,Positive sentiment
#india #religion #hindu #muslim #indiafightscorona #covid19is this how we going to be remembered#whereisthelove India ,Positive sentiment
Be A Corona WarriorsBlood Donate by Befojji Organisation THE CIVIL DEFENCE ORGANISATION befojjiopsec #coronawarriors #corona #coronavirus #covid19 #befojji ,Neutral sentiment
Be positive Follow me Follow me Follow me #stayhome #staysafe #covid19 #successquotes #inspirational #positiveenergy #success #selflove,Positive sentiment
All these ungrateful morons expect Doctor to serve themSo much Respect for #CORONAWARRIOR This is why Doctor of Private sector are Reluctant to serve COVID ptsSave yourself and save Your FamilyWarriors of ,Positive sentiment
Lets fight Covid togetherLucknowthe City of Nawabs ,Neutral sentiment
A life without loveis like a yearwithout summerBut due Corona Spreads nothingDelhi India ,Negative sentiment
Celebrating his 159th birthday anniversary#rabindranathtagore #birthanniversary #159 #2020 #india #covid19 #lockdowntimeIndia ,Positive sentiment
World Corona Watch 0600 am on 08 MayLucknow PostSonebhadra India ,Positive sentiment
8#eyevision#vitaminc #skincare #helthydiet #healthyjuice #boostimmunesystem #fitindia #hitindia #coronavirus #indiafightscoronaHappy Lifestyle Center 21 ,Neutral sentiment
opportunity doesnt happen you create themStart creating#opportunity #covid19 #corona #Vigneshwarant #nandhainfotechVellakovil India ,Neutral sentiment
Travel stopped due to effectiveness of corona virus#travel #maharana #insta #instagram #bald #instadaily #instagood #daily #odishaBerhampur Orissa ,Positive sentiment
Learn from home in your convenient time Download free App #Mobishaala from Play Store Use Institute code #ARSA2020 Get ready to overcome challenge arises due to corona outbreaks#CBSE #Board #Physics ,Neutral sentiment
Happy anniversarymom and dad#happyanniversary #mom #dad#family#love #care#missyou #lockdown #coronavirus #instagood #positivevibes #postoftheday #instaday #instadaily #instapic #instamood #instagram ,Neutral sentiment
Our Earth Says thanks to Corona virus for giving relaxationLingampally Hyderabad ,Neutral sentiment
#FirstQuarantineBirthday in 25 years Birthday celebration at home after long 4 years #25thbirthday #familytime #homequarantine #covid19Smart CityGwalior ,Neutral sentiment
Even Coronas Goa plan got cancelled Goa became green zone with zero cases By the way were going Goa from 30th July2nd August Want to join in Visitfor detailsWhat You ,Neutral sentiment
Keep your account upto date during COVID19Host your data with Hosting Safari and get access from anytime anywhere#tallyoncloud #cloudservices #trending #trends #instagood #sme #largeenterprise #cagroup ,Positive sentiment
Will a postcovid India be any differentThe corona pandemic has rattled everyone will the postcovid period be worse Please reach out fir my blog to read and share this article Link to my blog given in my ,Positive sentiment
This Red Cross Day we want to thank doctors and nurses for their selfless dedication in trying to the world from COVID19 #doctors #nurses #RedCrossDay #RedCrescentDay #TheRealHeroes #COVID19 #Covid19 ,Neutral sentiment
Shah Rukh Khan the coowner ofwill be helping the Tribagonians during this COVID 19 crisis across the countryMumbai Maharashtra ,Neutral sentiment
Greetings ofRabindra Jayanti do visit the blog and subscribe by hitting the Bell icon#ravindranathtagorejayanti #bongo #covid19 #sketching#jamshedpurKadma ,Positive sentiment
It is not related to any one Region but its a Pan India SituationTell me one Good Reason why a Doctor should treat a #COVID19 pt at allDoctor should stop Treating CORONA pts nowWarriors of Dharma ,Positive sentiment
CORONA is No JokeDr Ranjit Singh from Govandi expired yesterday Today there is another sad news of his wife passingawaydue to Corona RIP Another doctor couple from Govandi Succumb to death,Neutral sentiment
Keep your heels head amp standards highFollow our page for regular fashion and lifestyle updates Visit Us #fashion #coronavirus #lockdown2020#lockdown #lockdownlife #highheels #cute ,Neutral sentiment
I swear#merachainvainsabujda #merachainwainsabujda #merachainwainsabujdasong #coronavirus #covid #covid19 #covid19 #bollywood #bollywoodmemes #bollywoodsongsHCG Cancer Centre Vizag ,Positive sentiment
#Task #Covid19 #WarRoom With Additional Collector Shri Rohan Saxena Ji at SGSITS War Room #Covid19 #WarRoom #Indore #Team #FieldSurvey #Covid19App #Surveillance #IndoreJeetegaCoronaHarega #PunitKumarDwivedi ,Positive sentiment
AsanaYoga Challenge EntryRahul kumar sharma rahulkumargupta668Asana name #sirsasanaIt will strengthen immunity that will be helpful to fight against corona virus It helps in better blood regulations ,Positive sentiment
The Mighty Djinn from the Small Lamp At the Carnival in Goa some color to break the dull#coronavirus days of lockdown and the failing economy of the globeMapusa India ,Positive sentiment
AsanaYoga Challenge EntryPulkit Verma thepulkitvermaAsana name #chakrasana It will strengthen immunity that will be helpful to fight against corona virus It makes spinal cord and hand muscles strong ,Positive sentiment
Foodstuffs delivery service to Abroad by Parcel Line Express selected countries worldwide 35days delivery service at most affordable rates services availabe after Covid19 Lockdown 30Parcel Linex India ,Negative sentiment
Mask for safetyContact for inquiry#mask #covid #facemask #skincare #coronavirus #masks #art #masker #beauty #corona #n #makeup #love #stayhome #cosplay #virus #maskerwajah #m #like #quarantine #photography #skin ,Positive sentiment
AsanaYoga Challenge EntryVed prakash sharmavedprakash32 from BiharAsana name #chakrasanaIt will strengthen immunity that will be helpful to fight against corona virus It makes spinal cord and hand ,Neutral sentiment
How Coronavirus vaccinesare being developedDombivli India ,Negative sentiment
Can you believe mango season the good Alphonso season is almost overhow do you like enjoying your mangoesI like eating it best plain #foodiesofindia #mango #summer #yellow #mumbai #coronavirus ,Positive sentiment
 Ramnarayan blue art potteriesFounder Mr Ramnarayan prajapatiHelp us support COVIDhit families to regenerate lost livelihoods Discover a great selection of enchanting Jaipur blue Potteryhome,Positive sentiment
Covid 19 DISTRICT ADMINISTRATION GANDERBAL TODAY DECLARED VILLAGE PUTTERMULLA AND PAHLI PORA AS RED ZONESDM visits the areas takes stock of situationMay08The District Administration Ganderbal today declared ,Neutral sentiment
In a turn of events Corona Virus has shaken up the worlds concept of being positive The notorious COVID19 has meandered its way into our lives in a way that the whole world has been in a standstill since ,Positive sentiment
Cute comfy cozy amp casual#everydaystyle #wingedeyeliner #neutrals #ocnpresets #closeupshot #quarantinelife #quarantinestyle #selfisolation #covid19 #coronavirus #boredinthehouse #everydaylife ,Positive sentiment
Sanitizing homes amp facilities of all sizes for prevention and remediation of germ spread Certified OSHA and equipped with PPE gear Contact WRC SERVICES right now #coronavirus #covid #corona #virus #rus ,Positive sentiment
When is this getting over #stayhome #staysafe #covid19 #quarantinelifeJaipur Rajasthan ,Positive sentiment
Our relentless effort to bring smile among underprivileged communities during lockdown situation in India Food and medical supply distribution going on regular basis Help us to fight against COVID 19 pandemic ,Neutral sentiment
Proud to be a #CoronaWarriors posted at FluOpd for Covid Suspected patients#corona #coronafightersBhopal Madhya Pradesh ,Positive sentiment
Won 2nd prize in Video contest by for Indian Corona Rap Check the Video on YouTube#contest #rap #song #tvh #today #coronavirus #motivation #coronawarriors #india #video #quarantine ,Negative sentiment
GO BACK CORONA GO BACKKolkataThe City of Love ,Negative sentiment
Todays Positive #covid19 #suratSurat Gujarat ,Negative sentiment
Contribute for COVID19 FightersKolkataThe City of Love ,Neutral sentiment
Beautiful #uttrakhandfollow#awesome #beautiful #love #peace #bliss #nature #india #beautifuluttrakhand #lockdown #covid19 #wow #life #myuttrakhand #hills #travel #world #us #europe #uk ,Positive sentiment
All these clothes Nowhere to go#everydaystyle #wingedeyeliner #neutrals #ocnpresets #selfielove #quarantinelife #quarantinestyle #selfisolation #covid19 #coronavirus #boredinthehouse #everydaylife ,Positive sentiment
NEW VIDEO #trailer#linkinbio #kolkata #cityview after 43 days of #lockdown during this #coronavirus #coronavirisoutbreak#watch the VIDEO on my #youtubechannel#ShotOniPhone amp #editedbyme,Positive sentiment
#lockdown #2020My love story with foodIt is indeed a hardtime for the whole world fighting the virus #covid19 but then these are the times we come to know who stands with us ,Positive sentiment
We are doing everything in our power to Fight against COVID19 by using the right Equipment including ULV Cold Foggers and EPA approved Botanical Disinfectants that are powerful enough to kill any virus while ,Positive sentiment
Lockdown mein interview #lockdown #covid19 #interview #china #india #stayhome #news #mastiIndore India ,Positive sentiment
The other side of #covid19 ~ #nature is healing itself The only positive case of #coronavirus #pandemic that is going in favour of #earth #stayhome #staysafeBihpuriagaon Assam India ,Positive sentiment
Adhering to guidelines and timings given by ourgovernment to fight #COVID19 we are opening our music storefrom tomorrowOrders accepted through online storeMinimal delivery charges ,Positive sentiment
Story of extraordinary courage Dedication and ValourDr Zahid DM critical care resident from AIIMS Delhi showed exceptional valour and dedication while catering to a COVID patient While on duty he was not even ,Neutral sentiment
Damn Modi is really resourceful He actually managed to get the deadly Corona virus released from Wuhan Right under Chinese noses,Positive sentiment
Unless the developed nations change course and pursue a radically different economic path after the crisis the gap between a slowgrowing West and an 13,Positive sentiment
ongoing time all world suffering with Covid 19 Govt is saying stay healthy or clean but how we take fresh breath in this bad smelled air Our colony families sufferes other disease due to this sewar blockage Als,Positive sentiment
#StayatHome 6th days #Lockdown 30#COVID19Yesh Modeling Studio ,Positive sentiment
#Repost smlisuzuofficial Patiala Punjab IndiaWe at SML Isuzu believe in making a difference along with SIAM India and CII we are trying to help those Worst Hit By The Covid19 PandemicWe request ,Positive sentiment
Nope I am not lazy its the weekend#sunlight #wewkend #navsari #fresh #corona #saturday #photooftheday #letitshine #harshrajput #love #life #gratitude #quarantine #quarantinelife #stay #stayhome ,Neutral sentiment
A statue of a mother and her child in Kolkata has been masked to make people aware of the coronavirus epidemic #StayHomeStaySafe #IndiaFightCoronaJaipur Rajasthan ,Negative sentiment
#mustwatchCorona awareness song and concept videoFull video link#Masterkuttystory#CoronaVersion#thalapathy #master #thalapathy64 #kuttystorymasterPudukkottai ,Negative sentiment
Baltimore oriole Icterus galbula visitor to my #backyard yesterday My very first #baltimoreorioles ever I have seen so many new birds during #stayathome for #covid19#birdsofinstagram #birdwatchersdaily ,Positive sentiment
Start where you are Use what you have Do what you can#ananthukhadibhavan #ananthuposts #khadiproducts #khadi #handloom #handloomlove #nagercoil #kanyakumari#tamilnadu #gocorona #corona #coronalockdown ,Positive sentiment
Must Try this amazing #DaalBafle after #Lockdown at New Chappan Bhog #indore #indoremasala #indori #indiab #daalbati #daal #rice #corona #coronavirus #covid19 #isolate #isolation #quarantinelife #quarantine ,Positive sentiment
God knows till when we shall be able to continue I never like talk sad or pessimistic but times are getting scarier All the knowledge power and systems are just null and void against this Corona But Hope is ,Positive sentiment
Brand New Concept Immunity Passport Must Know Everyone What is an immunity passportThis document will certify that someone is immune to SARSCoV2 by performing an antibody test and a virus test The ,Neutral sentiment
Build your Analytics career with NIT and IIT industry experts without quitting your jobWe have created a COVID19 Support plan for you GET your FREE PYTHON CERTIFICATION Learn PYTHON DATA ,Positive sentiment
Covid19 positive Female patient Patient Name Samira Huusen MansooriResidential Area Taivad BardoliTravel history from Ahmedavad on 752020 to BardoliCurrently she was Shifted to Maliba covid care ,Positive sentiment
Often we need to move away to come closer thats how love grows nature also does the same but man refuses to follow unless compelled to Love in the times of Corona Social DistancingThis is Jammu Kashmir ,Neutral sentiment
#FacetimePhotoshoot withActress PhotoThe following series is completely shot over FaceTime #shubraaiyappa #socialdistancing #covid19 ,Negative sentiment
Covid19 positive Female patient Patient Name Samira Huusen MansooriResidential Area Taivad BardoliTravel history from Ahmedavad on 752020 to BardoliCurrently she was Shifted to Maliba covid care ,Negative sentiment
Corona Indian Government ampFailure ,Neutral sentiment
Follow me on Tiktok#actorlife#normallife#simplehomestyle#lockdowntime #covid19 #akhiljeet #patel#jaishribalajimaharajIndia ,Positive sentiment
Missing those day #bleedblue #Dream#motivated #covid19 #lockdown #parapowerlifter #paralympics #shootDwarka Delhi ,Positive sentiment
Atlantis Foot OperatedHands Free Water DispencersBe SmartBe SafeCall Us At 9811016688#waterquality #sanitation #covid19 #coronavrus #besafe #besmart #handsfree #footoperated unitedagencies,Neutral sentiment
HappinessWorkplace Remain CHEER#happiness #cheer #workplace #covid #workfromhomeIndia ,Negative sentiment
For more followRead belowNet profit of SBI Card in the Marchquarter fell to 8354 crore from 249 crore a year ago due to specific covid19 related ,Neutral sentiment
What is this#prakashkumar #life #Coronavirus #COVID19 #eAgendaAajTak #carryminati #IndiaFightsCorona #skirt #youtubevstiktok #Village ,Negative sentiment
Simplicity is the bestThink goes beyond limits as life continues Surviving this lockdown and fighting against corona virus which is rapidly growingAs sometimes just feel to go past time to do things ,Negative sentiment
Smells Like CoronaThe Woodhouse BandIf you missed our live session withthen this is the song we ended the hourlong tiring yet exhilarating jam with Apologies to the legendary Nirvana and the late ,Neutral sentiment
Blue jean baby #everydaystyle #wingedeyeliner #neutrals #ocnpresets #closeupshot #quarantinelife #quarantinestyle #selfisolation #covid19 #coronavirus #boredinthehouse #bluejeanlover #everydaylife ,Positive sentiment
On daily basis face Mask making work in progress by mother we are surely going to win this battle aginst corona virus #COVID19 #StayHomeStaySafe #IndiaFightsCorona#HomeMinistry ,Neutral sentiment
Follow For More#followformore#writersofinstagram#writersoffacebook#respectdoctors#coronavirus#lockdown#coronovirus#instagram#facebook#twitter#urdupoetrylovers#rekhta#rekhtafoundation#keepsupporting ,Positive sentiment
Think like a QUEEN A QUEEN if not afraid to fail Failure is another stepping stone to greatnessFollow us for latest fashion and lifestyle updates Visit Us #fashion #coronavirus ,Neutral sentiment
Something refreshing on a hot summer afternoonMy first adventure with my new speedlight#Corona #lemon #highspeedphotography #superslowmo #gurgaon #photography #waterdropphotography,Positive sentiment
Lets do something new for yourself8080062923#lockdown2020 #lockdown #coronavirus #reikiteachers #specialneeds #ideasKatni ,Positive sentiment
India fights coronaCORONA VIRUS STOPPING STARTS WOTH YOU#coronavirus #artlovers #worldhealth #campaign #design #draws #daily #possitivevibes #think #thoughts #conceptart #visualart #story #indian ,Positive sentiment
Digital Marketing meansBrand BuildIncome BuildNow the right time for Digital Marketing for your Brand amp Your Products in this Pandemic Covid19 Situation#DigitalMarketing #CreativeImagine #Coach #Marketing ,Positive sentiment
Todays Positive #surat #update #covid19Surat Gujarat ,Positive sentiment
Bling Bling Girl at the #Carnivalin #GoaSome color for the dull #coronavirus days of our livesMapuca Goa India ,Negative sentiment
Shot On iPhone#ilalitjangid #shotoniphoneapple #rajasthan #jodhpur #village #createathome #lockdown #nustaharamkhor #covid #pushkarfair2019 ,Negative sentiment
What a evening#evening #sunsetphotography #sunset #sun #nature #covid19 #scenery #framing #landscapephotography #clouds #abstract #ankitmangalphotographySingle Shot Media ,Positive sentiment
Manage COVID19 StressTips on Looking after yourselfTake a break from the newsInformation overload can be upsetting Make an effort to switch off your screens once in a while Take care of your ,Neutral sentiment
Corona updates#instagram #news #repost #stayathome #follow #viruscorona #italy #wuhan #instagood #washyourhands #lockdown #coronavirusoutbreak #art #funny #india #coronavirusitalianews #photography #quarentena ,Positive sentiment
Being Part of A Very Unique Global effort For CoRONA Warriors Shri Royal Krishna Bunglows Society ,Positive sentiment
Link in Comment#follow #for #community #love #fitness #zumba #zumbafitness #zumbainstructor #workout #sweat #dance #aerobics #cardio #pump #adrenaline #quarantinelife #lockdown #exercise #health #immunity #corona ,Neutral sentiment
Its all the memories we made that keeps us going in these times of #covid19 #family #familyfirst #lafamilia #weddings #wedding #weddingdetail #weddingday #weddingdecor #weddingphotography #weddingideas ,Positive sentiment
Unite and defeat Fight against diseases not humanitysolidaritynotstigma #covid #solidaritynotsitgma #whoMumbai Maharashtra ,Negative sentiment
Stay Home Stay Safe#mothersday #india #motherland #mother #mothersdaygifts #mom #happymothersday #red #family #mothers #design #motheringsunday #graphic #designinspiration #graphicdesign #coronavirus ,Neutral sentiment
#sudhanshukumarparashar#CORONAVIRUS #covid19 #office #JHARKHAND #india #NH32Ashoka Buildcon LimitedCamp 24 ,Positive sentiment
Salute to all Mothers in our societyworking day and night to fight against #COVID19My SandArt at Puri beach on #MothersDay with the messageMaa Tujhe salaam #mothersday #mother #mothernature #motherhood ,Positive sentiment
Corona WatchSituation in India at 1155 pm on 9 maySonebhadra India ,Neutral sentiment
Stay Home Safe Family#covid19 #workfromhome #staysafe #socialdistancing #flattenthecurve #healthcare #thinksafety2020Chennai India ,Positive sentiment
In #covid times trying to provide Teleconsultation to people far off in need of helpMeher Hospital ,Positive sentiment
#UselessWorkUnitedNationAs the real media is telling that all countries are the victims of poverty these Corona foreign media and institutions are not working properly all these deaths are the foreign media and ,Positive sentiment
Disaster But my own sense is that govt calculated that any move to transport so many will smash the curve so this is the price to pay Govt will likely be looking at ways to compensate before elections so watch out ,Positive sentiment
Memories are a paradise from which fate readCorona cannot deprive us #Memories #BitterSweet #WeekendGetaway #Zostel #Mahabaleshwar #Strawberries #TakeMeBack #LatePost #Corona #Covid19 #Lockdown ,Positive sentiment
She is theone can ever have in life#HappyMothersDay #MothersDay #mothers #mothersdaygift #love #mother #mom #gift #family#Covid19 #Covid19India #Lockdown2020 #CoronaVirus#crreddycollege ,Positive sentiment
Happy Mothers Day to all my friends#fastwayimmigration #9041197888 #indiafightscorona #coronavirus #covid19 #staysafestayhomeFastway Immigration amp Educational Services Pvt Ltd Call 9041197888 ,Positive sentiment
I love this beach n one of the memorable Corona yearVagator Beach ,Negative sentiment
New morning for birds is a campaign run by Joy of giving society in every summer to provide water for the thirsty birds and little creatures Due to Corona outbreak this year we are unable to do the same right ,Positive sentiment
Hey Happy Mothers DayYou are our very own #Corona #warriorsinside our homes You have made this #lockdown much easier for the all of us so this Mothers Day is extra special We want to express ,Neutral sentiment
In this world no one cares a child more thana mother So on this #Motherday care your mother by Covid19We wishes you all Happy Mothers Daydont forget to wear your mask when you are outsideMore from ,Neutral sentiment
Long post alertSoIn this Covid19 situationIm in a house arrest in my flat like most of us areAnd I gotta do all the household choresLike jhhaadoo sweeping poochhaa moping bartan dhonaa ,Positive sentiment
Happy Mothers Day Please share the wonderful message with everyone Follow us for latest fashion and lifestyle Visit Us #fashion #coronavirus #lockdown2020#lockdown #lockdownlife#cute ,Positive sentiment
Happy mothers day #indiafightcorona #stayhome #staysafe #coronavirus #sandhyaHealthmeniaDelhi India ,Positive sentiment
Join us for LIVE Interaction with Dr Jay M Panchal Ahmedabad by using this link For Pain Management amp Cancer Palliative Care during COVID19 on Date May ,Negative sentiment
Never stop doing great just because someone doesnt give you credit#ananthukhadibhavan #ananthuposts #khadiproducts #khadi #handloom #handloomlove #nagercoil #kanyakumari#tamilnadu #gocorona #corona ,Positive sentiment
Complete details of covid19 ve patients from Angul#angul #odisha #coronaangul #angulupdates #chhendipada #athamallik #talcherAngul district ,Positive sentiment
Happy Mothers Day#mothersday #mother #mom #lovingmom #motherday #lovingmother #happymothersday #momday #respecttoallmothers #stayhome #stayathome #corona #indialockdown #indiafightagainstcorona #covid19 ,Positive sentiment
BOOKING OPENWe remind our customers and friends that we are closed due to emergency COVID19 but operating in SMART WORKING for info and appointments and for any questions write here ,Negative sentiment
Happy Mothers DayMiss you mom you got stuck in Kerala and I am in Mumbai Hope to see you soon #mothersday #lockdown #coronavirus #missyou #missmomUlhasnagar ,Neutral sentiment
Happy Mothers Day We are dedicating this Mothers Day to all the mums who make us feel safe at home and also step out to make the world a safer place A special salute to the mothers who are working as Covid ,Positive sentiment
Join us for LIVE Interaction with Dr Jay M Panchal Ahmedabad by using this link For Pain Management amp Cancer Palliative Care during COVID19 on Date May ,Positive sentiment
 Mothers Day Special ,Positive sentiment
LOCKDOWN INITIATIVE BULLETIN Work done by Team Hasiru from April to May 2020 during COVID 19 LockdownWe humbly thank all our partnerswellwishersdonors and maily our volunteers who have worked tirelessly ,Positive sentiment
Favorite pizza topping GO Mine would be jalapeos and olives#pizza #foodiesofindia #homemade #quarantine #coronavirus #mumbaiMumbai Maharashtra ,Positive sentiment
Sir its time to call one day joint parliamentary session on Covid19 Lock Downampresults to explain which touches roots in villages in the countryMeetings with Public AddressampCMs are over two timesamprelaxations were also taking t,Positive sentiment
WORLD PEACE MISSION CORONA COVID 19 GUIDANCE AND TRAINING SESSION BY RED CROSSVMSS HEALTH DEPARTMENT GMERS GOTRI MEDICAL COLLEGE WITH JUST CALL SAVE ANIMALPANDIT DIN DAYAL AUDITORIUM AJWA ROAD ,Neutral sentiment
Happy mothers day#mothersday #mother #2020 #educationconsultant #studyabroad #overseaseducation #covid19 #stayathome #staysafe #careerguidance #studyineurope #scholarship #freeeducation #freebooksMumbai ,Positive sentiment
Hyderabad Hightech City ,Positive sentiment
#HappyMothersDay Please help us shine a spotlight on all moms today especially our Riley moms who are such pillars of strength These special moments were captured on video prior to the coronavirus outbreak,Positive sentiment
NowadaysMask is more important then Helmet #corona #covid #coronavirus #stayhome #virus #quarantine #staysafe #love #lockdown #dirumahaja #s #stayathome #memes #instagram #socialdistancing #coronamemes #india #d ,Positive sentiment
Comic Strip Day 48Quarantine#21dayslockdown #21dayslockdownindia #lockdown3Kolkata 2020#covid19 #covid19india #covid19kolkata #corona #covidart #covidartexhibit #coronaindia #artquarantined ,Neutral sentiment
Chittoor district corona covid19 cases details area wiseNagari Andhra Pradesh ,Positive sentiment
Runs in the family This is where I get it from My Mother THE ORIGINAL ROCKSTARHappy Mothers Day#Quarantine #corona #gocorona#LoveForMusic #Lockdown#isolation #stayathome #workathome #friends #music ,Neutral sentiment
